qid,duration,status
1,1254,0
2,2866,0
3,1777,0
4,55603,0
5,5522,0
6,1633,0
7,3878,0
8,1936,0
9,10210,0
10,1909,0
11,33531,0
12,984,0
13,10223,0
14,13275,0
15,914,0
16,78716,0
17,6678,0
18,2306,0
19,2763,0
20,623,0
21,368,0
22,1644,0
23,36230,0
24,16473,0
25,5698,0
26,1456,0
27,4193,0
28,9667,0
29,10618,0
30,1065,0
31,4835,0
32,331,0
33,2882,0
34,3301,0
35,3964,0
36,2438,0
37,338,0
38,11755,0
39,594,0
40,1589,0
41,231,0
42,1268,0
43,2731,0
44,2053,0
45,1278,0
46,4915,0
47,7600,0
48,7574,0
49,3729,0
50,3797,0
51,15383,0
52,1208,0
53,4233,0
54,3225,0
55,1219,0
56,2391,0
57,37222,241
58,7711,0
59,7872,0
60,3954,0
61,5783,0
62,2492,0
63,4459,0
64,6790,0
65,8532,0
66,4386,0
67,26570,0
68,7031,0
69,2608,0
70,4672,0
71,2996,0
72,10935,0
73,3523,0
74,20130,0
75,32642,0
76,3453,0
77,3202,0
78,58651,0
79,5858,0
80,7288,0
81,1517,0
82,583,0
83,1072,0
84,849,0
85,6375,0
86,1063,0
87,11705,0
88,2980,0
89,3597,0
90,876,0
91,9179,0
92,526,0
93,4437,0
94,3521,0
95,49843,0
96,2105,0
97,38491,0
98,1743,0
99,48976,241
,887073,
