qid,on k8s,,on local,,,
1,1706,,1940,,,
2,2761,,1782,,,
3,1783,,1724,,,
4,52475,,42975,,,
5,5126,,3582,,,
6,1765,,1418,,,
7,3590,,2761,,,
8,1912,,1552,,,
9,9954,,9885,,,
10,1834,,1379,,,
11,33654,,26349,,,
12,752,,528,,,
13,9859,,8522,,,
14,13271,,9897,,,
15,959,,931,,,
16,76105,,80049,,,
17,7009,,5263,,,
18,2110,,1837,,,
19,2654,,1951,,,
20,595,,505,,,
21,364,,480,,,
22,1604,,1077,,,
23,36544,,29339,,,
24,14342,,3588,,,
25,5578,,4507,,,
26,1209,,1120,,,
27,3950,,2813,,,
28,8621,,7613,,,
29,10186,,6413,,,
30,1000,,919,,,
31,5059,,4174,,,
32,318,,299,,,
33,2957,,2232,,,
34,3038,,2402,,,
35,3775,,2840,,,
36,2231,,1575,,,
37,336,,373,,,
38,11574,,9747,,,
39,599,,503,,,
40,1459,,1143,,,
41,238,,300,,,
42,1184,,896,,,
43,2797,,2184,,,
44,1962,,1789,,,
45,1207,,995,,,
46,5064,,3500,,,
47,7332,,5429,,,
48,7390,,7433,,,
49,3987,,2750,,,
50,3433,,2347,,,
51,15256,,13931,,,
52,1342,,906,,,
53,4275,,4189,,,
54,3072,,2227,,,
55,1183,,914,,,
56,2373,,1942,,,
57,39010,,37964,,,
58,7197,,4153,,,
59,7687,,6036,,,
60,3802,,2974,,,
61,5363,,4902,,,
62,2465,,1107,,,
63,4563,,4171,,,
64,6582,,6301,,,
65,9004,,7508,,,
66,4776,,1830,,,
67,25514,,19193,,,
68,6672,,4061,,,
69,2718,,2153,,,
70,4664,,3312,,,
71,2872,,1979,,,
72,12056,,12056,12056,0,86208
73,3358,,2481,,,
74,20481,,15691,,,
75,33716,,47042,,,
76,3630,,2716,,,
77,3109,,2268,,,
78,56799,,48889,,,
79,6284,,4528,,,
80,7365,,5733,,,
81,1613,,1258,,,
82,603,,613,,,
83,1247,,888,,,
84,876,,764,,,
85,6558,,4698,,,
86,1105,,647,,,
87,11423,,9986,,,
88,2967,,2402,,,
89,3577,,3499,,,
90,817,,523,,,
91,8962,,8917,,,
92,546,,530,,,
93,3725,,2641,,,
94,3701,,1231,,,
95,49410,,1293,,,
96,2184,,1407,,,
97,38831,,33920,,,
98,2117,,1435,,,
99,0,,0,49016,241,180442
,826662,,665419,,,
