qid,duration,status
1,1940,0
2,1782,0
3,1724,0
4,42975,0
5,3582,0
6,1418,0
7,2761,0
8,1552,0
9,9885,0
10,1379,0
11,26349,0
12,528,0
13,8522,0
14,9897,0
15,931,0
16,80049,0
17,5263,0
18,1837,0
19,1951,0
20,505,0
21,480,0
22,1077,0
23,29339,0
24,3588,0
25,4507,0
26,1120,0
27,2813,0
28,7613,0
29,6413,0
30,919,0
31,4174,0
32,299,0
33,2232,0
34,2402,0
35,2840,0
36,1575,0
37,373,0
38,9747,0
39,503,0
40,1143,0
41,300,0
42,896,0
43,2184,0
44,1789,0
45,995,0
46,3500,0
47,5429,0
48,7433,0
49,2750,0
50,2347,0
51,13931,0
52,906,0
53,4189,0
54,2227,0
55,914,0
56,1942,0
57,37964,241
58,4153,0
59,6036,0
60,2974,0
61,4902,0
62,1107,0
63,4171,0
64,6301,0
65,7508,0
66,1830,0
67,19193,0
68,4061,0
69,2153,0
70,3312,0
71,1979,0
72,86208,0
73,2481,0
74,15691,0
75,47042,0
76,2716,0
77,2268,0
78,48889,0
79,4528,0
80,5733,0
81,1258,0
82,613,0
83,888,0
84,764,0
85,4698,0
86,647,0
87,9986,0
88,2402,0
89,3499,0
90,523,0
91,8917,0
92,530,0
93,2641,0
94,1231,0
95,1293,0
96,1407,0
97,33920,0
98,1435,0
99,180442,159
